Type,Latitude,Longitude,Report Location
Beaver Accident,47.65359,-122.1724,"(47.5359215644944, -122.17239363771)"
Beaver Accident,47.65587,-122.1455,"(47.5586742179932, -122.145459593032)"
Beaver Accident,47.6242,-122.1504,"(47.6041799584305, -122.150413972871)"
Beaver Accident,47.6285,-122.1634,"(47.6185201003591, -122.1633933175)"
Beaver Accident,47.6377,-122.1535,"(47.5769963948748, -122.153489741459)"
Beaver Accident,47.6271,-122.1567,"(47.6070613148702, -122.156704950904)"
Beaver Accident,47.6376,-122.176,"(47.5576313944865, -122.175953209827)"
Beaver Accident,47.6271,-122.1655,"(47.5671287141589, -122.165469856245)"
Beaver Accident,47.6441,-122.179,"(47.5741404875598, -122.178981402479)"
Beaver Accident,47.6205,-122.1584,"(47.6004974675558, -122.1584408232)"
Beaver Accident,47.6373,-122.158,"(47.6073026985559, -122.158042438828)"
Seal Attack,47.6487,-122.1831,"(47.5886759588072, -122.183121688967)"
Beaver Accident,47.6572,-122.1984,"(47.5720255399943, -122.198438699952)"
Beaver Accident,47.6161,-122.158,"(47.5960987345722, -122.157953679757)"
Beaver Accident,47.6133,-122.1564,"(47.5733286828007, -122.156386508755)"
Beaver Accident,47.6255,-122.175,"(47.6055493968362, -122.174961980923)"
Beaver Accident,47.6152,-122.1656,"(47.5652376251541, -122.165616611478)"
Beaver Accident,47.6336,-122.1797,"(47.5535809632403, -122.179734029109)"
Beaver Accident,47.6481,-122.1685,"(47.5780786495967, -122.168482659516)"
Beaver Accident,47.6636,-122.1488,"(47.543648439984, -122.148828203383)"
Beaver Accident,47.6706,-122.1554,"(47.5706284875456, -122.155367943946)"
Beaver Accident,47.5125,-122.1677,"(47.5825274989281, -122.16766468729)"
Seal Attack,47.5257,-122.1581,"(47.5756789589651, -122.158119571413)"
Beaver Accident,47.5117,-122.1576,"(47.6169844420017, -122.157585591257)"
Beaver Accident,47.5184,-122.1829,"(47.5683669556977, -122.182927511294)"
Beaver Accident,47.5245,-122.1863,"(47.5645106166278, -122.186286026824)"
Beaver Accident,47.5161,-122.1506,"(47.5561187384698, -122.150603517015)"
Beaver Accident,47.5364,-122.1512,"(47.606379878971, -122.151201866668)"
Beaver Accident,47.5358,-122.1845,"(47.5657789348243, -122.184471085724)"
Beaver Accident,47.5334,-122.1885,"(47.5633846356258, -122.188456917257)"
Beaver Accident,47.5269,-122.1805,"(47.5690080122555, -122.180545524833)"
Beaver Accident,47.5273,-122.1992,"(47.5972996832269, -122.199159222579)"
Beaver Accident,47.5237,-122.1485,"(47.5999937660557, -122.148466959342)"
Beaver Accident,47.5002,-122.1835,"(47.6101680516205, -122.183463626837)"
Beaver Accident,47.5149,-122.1621,"(47.6148693859727, -122.162103049269)"
Beaver Accident,47.5298,-122.1512,"(47.5598340878119, -122.151238238933)"
Beaver Accident,47.5362,-122.1592,"(47.5662174373586, -122.159182678994)"
Beaver Accident,47.5449,-122.1471,"(47.5448982203696, -122.147115008761)"
Beaver Accident,47.5337,-122.1729,"(47.5436583797858, -122.172940569365)"
Beaver Accident,47.5101,-122.1521,"(47.5301011209722, -122.152069893569)"
Beaver Accident,47.6106,-122.1525,"(47.6105669132858, -122.152451082041)"
Beaver Accident,47.6108,-122.1862,"(47.6108157235311, -122.186229067044)"
Beaver Accident,47.5414,-122.161,"(47.5413767587536, -122.16102313856)"
Beaver Accident,47.571,-122.157,"(47.570964253938, -122.156986967751)"
Beaver Accident,47.5437,-122.1451,"(47.5436540265488, -122.145089707303)"
Beaver Accident,47.5671,-122.1434,"(47.5670822076942, -122.143423469916)"
Beaver Accident,47.5541,-122.1927,"(47.5541409394287, -122.192703782742)"
Beaver Accident,47.5762,-122.1431,"(47.5761762985778, -122.14309348369)"
Beaver Accident,47.5795,-122.1564,"(47.5794975968129, -122.156421801135)"
Beaver Accident,47.589,-122.1962,"(47.5890282754247, -122.196201003433)"
Beaver Accident,47.6042,-122.1946,"(47.6041569538418, -122.194589325613)"
Beaver Accident,47.5736,-122.1987,"(47.573590623887, -122.198664869459)"
Beaver Accident,47.5675,-122.1622,"(47.5675167421998, -122.162185336571)"
Beaver Accident,47.532,-122.1734,"(47.5320041836301, -122.173386882256)"
Beaver Accident,47.5583,-122.1625,"(47.5583397797283, -122.162466164378)"
Beaver Accident,47.5731,-122.1841,"(47.57311966716, -122.184122342051)"
Beaver Accident,47.5955,-122.1593,"(47.5955272336444, -122.159275490342)"
Beaver Accident,47.5589,-122.1426,"(47.5588727944145, -122.14263582026)"
Beaver Accident,47.5736,-122.1823,"(47.5735752879854, -122.182295984673)"
Beaver Accident,47.5447,-122.1655,"(47.5446550602111, -122.165481187838)"
Beaver Accident,47.5992,-122.1705,"(47.5992392287167, -122.170458283057)"
Beaver Accident,47.6002,-122.1894,"(47.6001797615121, -122.18937762289)"
Beaver Accident,47.6183,-122.1829,"(47.6183030132435, -122.182852979992)"
Beaver Accident,47.5749,-122.1734,"(47.5749313551645, -122.173416179876)"
Beaver Accident,47.5812,-122.1791,"(47.5812029941937, -122.179109896432)"
Beaver Accident,47.5832,-122.1604,"(47.5832260864475, -122.160404060311)"
Beaver Accident,47.5828,-122.1713,"(47.5827958895994, -122.171320773525)"
Beaver Accident,47.555,-122.1433,"(47.5549891728822, -122.143305855877)"
Beaver Accident,47.5929,-122.1698,"(47.5928698834606, -122.169779047597)"
Beaver Accident,47.5321,-122.1746,"(47.532130113992, -122.174611687657)"
Beaver Accident,47.5731,-122.169,"(47.5731086284072, -122.168989046392)"
Beaver Accident,47.553,-122.187,"(47.5529826262003, -122.187001070775)"
Beaver Accident,47.5322,-122.1795,"(47.5321847363394, -122.179455071109)"
Beaver Accident,47.599,-122.1556,"(47.5990282551556, -122.155631687455)"
Beaver Accident,47.5613,-122.1509,"(47.5612806247418, -122.150913210562)"
Beaver Accident,47.6135,-122.1502,"(47.6135366424851, -122.150226770797)"
Beaver Accident,47.5425,-122.1497,"(47.5424561500623, -122.149747413864)"
Beaver Accident,47.595,-122.1934,"(47.5950063331019, -122.193423823626)"
Beaver Accident,47.5662,-122.1884,"(47.5662089618188, -122.188388383254)"
Beaver Accident,47.5739,-122.159,"(47.573885791018, -122.159022190915)"
Beaver Accident,47.5699,-122.1779,"(47.5698927189557, -122.177879111627)"
Beaver Accident,47.5842,-122.1575,"(47.5842384365799, -122.15752019917)"
Beaver Accident,47.5895,-122.1922,"(47.5895471543557, -122.192216017119)"
Beaver Accident,47.5785,-122.1811,"(47.5784945951651, -122.181064411198)"
Beaver Accident,47.6121,-122.1968,"(47.6120845904578, -122.196803544746)"
Beaver Accident,47.5832,-122.1576,"(47.5832057277537, -122.157603881733)"
Beaver Accident,47.5777,-122.1625,"(47.5776539056882, -122.162542869744)"
Beaver Accident,47.535,-122.1656,"(47.535008244748, -122.165604717614)"
Beaver Accident,47.5497,-122.1803,"(47.5497442039498, -122.180297509359)"
Beaver Accident,47.5508,-122.1401,"(47.5507808292752, -122.140070083746)"
Beaver Accident,47.6094,-122.1883,"(47.6093864151293, -122.188256829964)"
Beaver Accident,47.5977,-122.1692,"(47.597747701125, -122.169199041732)"
Beaver Accident,47.5507,-122.1697,"(47.5506671811594, -122.169701115529)"
Beaver Accident,47.5471,-122.1468,"(47.5471184071779, -122.146777221052)"
Beaver Accident,47.565,-122.1466,"(47.5650432097615, -122.146629529401)"
Beaver Accident,47.5734,-122.18,"(47.5733879216644, -122.180003665633)"
Beaver Accident,47.6034,-122.1726,"(47.6034087541058, -122.17261572293)"
Beaver Accident,47.5498,-122.1813,"(47.5497895367527, -122.181348661539)"
Beaver Accident,47.5499,-122.1628,"(47.549906285424, -122.162790592846)"
Beaver Accident,47.5995,-122.1932,"(47.5995352270362, -122.193230244935)"
Beaver Accident,47.5362,-122.1834,"(47.5362150426657, -122.183435005072)"
Beaver Accident,47.6254,-122.1845,"(47.6253970425893, -122.184506553967)"
Beaver Accident,47.5466,-122.1495,"(47.5465908374118, -122.149470744528)"
Beaver Accident,47.6127,-122.1748,"(47.6126885281625, -122.174832524244)"
Beaver Accident,47.5362,-122.1601,"(47.5362230120669, -122.160089545482)"
Beaver Accident,47.6286,-122.1943,"(47.6286257637644, -122.194306720167)"
Beaver Accident,47.5605,-122.1922,"(47.5604756830418, -122.19223008188)"
Beaver Accident,47.5791,-122.1612,"(47.5791380953935, -122.161222169428)"
Beaver Accident,47.6079,-122.158,"(47.6079313036439, -122.157969537211)"
Beaver Accident,47.5818,-122.143,"(47.5817823093982, -122.142997076025)"
Beaver Accident,47.5457,-122.1978,"(47.5457315203796, -122.19779961001)"
Beaver Accident,47.6141,-122.1425,"(47.6140923802624, -122.142507311159)"
Beaver Accident,47.6227,-122.1662,"(47.622682106819, -122.166191344654)"
Beaver Accident,47.5355,-122.163,"(47.5355392481507, -122.163048020052)"
Beaver Accident,47.6257,-122.1595,"(47.6257119717605, -122.159520736988)"
Beaver Accident,47.6088,-122.1478,"(47.6088394861332, -122.147820719594)"
Beaver Accident,47.5362,-122.1415,"(47.5362061822492, -122.14150099984)"
Beaver Accident,47.5645,-122.1621,"(47.5645448511357, -122.162073525561)"
Beaver Accident,47.6232,-122.1993,"(47.6231972928222, -122.199276545099)"
Beaver Accident,47.5967,-122.1755,"(47.5966722619138, -122.175485014438)"
Beaver Accident,47.5907,-122.1473,"(47.5907478968938, -122.147302474784)"
Beaver Accident,47.6031,-122.1964,"(47.6030698072109, -122.196375995818)"
Beaver Accident,47.6019,-122.1787,"(47.6018622089688, -122.178731422545)"
Beaver Accident,47.5616,-122.1669,"(47.5616057250532, -122.166919003898)"
Beaver Accident,47.6173,-122.1555,"(47.6172661213473, -122.15554064629)"
Beaver Accident,47.5954,-122.1706,"(47.5953836153282, -122.170560135886)"
Beaver Accident,47.5989,-122.1588,"(47.5988883590072, -122.158774717964)"
Beaver Accident,47.576,-122.1561,"(47.5760038917092, -122.156053776997)"
Beaver Accident,47.6261,-122.1653,"(47.6260703497039, -122.165320382818)"
Beaver Accident,47.6118,-122.1858,"(47.6118457576127, -122.185791455035)"
Beaver Accident,47.6146,-122.1416,"(47.6146030833316, -122.14163109296)"
Beaver Accident,47.5521,-122.1798,"(47.5520768743041, -122.179780631579)"
Beaver Accident,47.6241,-122.1534,"(47.6240505955684, -122.153409816213)"
Beaver Accident,47.601,-122.1851,"(47.6010403168531, -122.185128251603)"
Beaver Accident,47.6221,-122.1643,"(47.6220587905041, -122.164298169798)"
Beaver Accident,47.5943,-122.1717,"(47.5943480229929, -122.171681304235)"
Beaver Accident,47.6294,-122.1771,"(47.6293734339601, -122.17709348888)"
Beaver Accident,47.5428,-122.1408,"(47.5428056231429, -122.140848178937)"
Beaver Accident,47.607,-122.1945,"(47.6069805744285, -122.194525163091)"
Beaver Accident,47.5529,-122.1444,"(47.5529130733985, -122.144428304408)"
Beaver Accident,47.5478,-122.1648,"(47.5477730489875, -122.164838434092)"
Beaver Accident,47.5564,-122.1727,"(47.5563801092114, -122.172692677545)"
Beaver Accident,47.5793,-122.1968,"(47.5792619999557, -122.196814874324)"
Beaver Accident,47.5577,-122.1706,"(47.5577087042254, -122.170550809018)"
Beaver Accident,47.5521,-122.1401,"(47.5521382994893, -122.140119464928)"
Beaver Accident,47.5672,-122.1487,"(47.5672365039226, -122.148653509228)"
Beaver Accident,47.6233,-122.1647,"(47.6233342262069, -122.164697604983)"
Beaver Accident,47.558,-122.1824,"(47.5579646562346, -122.182442930753)"
Beaver Accident,47.5597,-122.1554,"(47.5596597899552, -122.155418248006)"
Beaver Accident,47.5655,-122.1998,"(47.5655304752447, -122.199776152783)"
Beaver Accident,47.5684,-122.1945,"(47.56843242485, -122.194516497074)"
Beaver Accident,47.5879,-122.1506,"(47.5879051002368, -122.150624923479)"
Beaver Accident,47.624,-122.1597,"(47.6240123336385, -122.159685115583)"
Beaver Accident,47.5408,-122.171,"(47.5408067218544, -122.171030766282)"
Beaver Accident,47.5347,-122.1421,"(47.5347065757799, -122.142145551742)"
Beaver Accident,47.5428,-122.1569,"(47.5427656226807, -122.15685354295)"
Beaver Accident,47.5315,-122.1911,"(47.5314567908949, -122.191071153131)"
Beaver Accident,47.5686,-122.1542,"(47.5686435445692, -122.154237608298)"
Beaver Accident,47.5707,-122.1837,"(47.570656151922, -122.18374716658)"
Beaver Accident,47.5418,-122.1524,"(47.5418250021742, -122.152400302878)"
Beaver Accident,47.5791,-122.1715,"(47.5790837974807, -122.171455014554)"
Beaver Accident,47.5698,-122.1841,"(47.5697947790527, -122.184077366318)"
Beaver Accident,47.6164,-122.1535,"(47.6164252547117, -122.153524342025)"
Beaver Accident,47.6115,-122.1444,"(47.6114525310838, -122.14439360606)"
Beaver Accident,47.5449,-122.1712,"(47.5449042171743, -122.171186884798)"
Beaver Accident,47.5735,-122.1476,"(47.573530096941, -122.147618031182)"
Beaver Accident,47.5776,-122.181,"(47.5775648275533, -122.181001496519)"
Beaver Accident,47.5377,-122.1929,"(47.5376716401738, -122.192916369728)"
Beaver Accident,47.6033,-122.1632,"(47.6032628107135, -122.163190845633)"
Beaver Accident,47.6057,-122.1961,"(47.6056981238451, -122.196073241546)"
Beaver Accident,47.6152,-122.1485,"(47.6152249296749, -122.148522235161)"
Beaver Accident,47.5494,-122.1637,"(47.5493597217268, -122.163685520316)"
Beaver Accident,47.6123,-122.1883,"(47.6123274512105, -122.188322933721)"
Beaver Accident,47.6273,-122.158,"(47.6273169055915, -122.157995637413)"
Beaver Accident,47.5606,-122.1799,"(47.5606124668803, -122.179904574319)"
Beaver Accident,47.5345,-122.1904,"(47.5344970428113, -122.190352458243)"
Beaver Accident,47.5335,-122.1572,"(47.5335048653326, -122.157180204891)"
Beaver Accident,47.5498,-122.1459,"(47.54981345429, -122.145948443878)"
Beaver Accident,47.5623,-122.1903,"(47.5623306748819, -122.190317858767)"
Beaver Accident,47.5711,-122.1558,"(47.5711267624555, -122.155775316179)"
Beaver Accident,47.6213,-122.1483,"(47.621322937228, -122.148300884716)"
Beaver Accident,47.6172,-122.1791,"(47.6172190978739, -122.179056134895)"
Beaver Accident,47.5977,-122.1793,"(47.5976825658578, -122.179325631615)"
Beaver Accident,47.5778,-122.1961,"(47.5777795165796, -122.196122899601)"
Beaver Accident,47.5449,-122.1715,"(47.5449205329881, -122.171529491133)"
Beaver Accident,47.5577,-122.1902,"(47.557732092225, -122.190230419544)"
Beaver Accident,47.6148,-122.1808,"(47.6147733751673, -122.180821114215)"
Beaver Accident,47.6175,-122.154,"(47.6174798210411, -122.153980037568)"
Beaver Accident,47.5799,-122.1683,"(47.5798833608945, -122.168303555534)"
Beaver Accident,47.5841,-122.1942,"(47.5841133505701, -122.194182115474)"
Beaver Accident,47.6093,-122.1944,"(47.6093048088595, -122.194374824412)"
Beaver Accident,47.5572,-122.1418,"(47.5572093405752, -122.141803974077)"
Beaver Accident,47.6087,-122.178,"(47.6087024023316, -122.178007190935)"
Beaver Accident,47.5736,-122.1797,"(47.573573138803, -122.179670695966)"
Beaver Accident,47.5377,-122.1939,"(47.5377434363167, -122.193912383815)"
Beaver Accident,47.5706,-122.1468,"(47.5705703646146, -122.146814656413)"
Beaver Accident,47.5485,-122.1837,"(47.5485098212331, -122.183726766336)"
Beaver Accident,47.5863,-122.1767,"(47.586313975485, -122.176741010721)"
Beaver Accident,47.6258,-122.1637,"(47.625811038776, -122.163745825307)"
Beaver Accident,47.6182,-122.1531,"(47.6181943931233, -122.153087390387)"
Beaver Accident,47.6247,-122.1653,"(47.6247331512084, -122.165269699048)"
Beaver Accident,47.5933,-122.1926,"(47.5932956114763, -122.192620271379)"
Beaver Accident,47.5593,-122.1699,"(47.5593189779023, -122.169863519421)"
Beaver Accident,47.58,-122.152,"(47.5799650926028, -122.151973379784)"
Beaver Accident,47.5423,-122.1668,"(47.5423200636131, -122.166841912029)"
Beaver Accident,47.5818,-122.1513,"(47.5817681225771, -122.151343131462)"
Beaver Accident,47.533,-122.1439,"(47.53304165629, -122.143862393936)"
Beaver Accident,47.5915,-122.1611,"(47.5915034532297, -122.16112884368)"
Beaver Accident,47.5983,-122.1448,"(47.5983458274839, -122.144773349692)"
Beaver Accident,47.5543,-122.1764,"(47.554312273404, -122.17637579839)"
Beaver Accident,47.5406,-122.1652,"(47.5406371405397, -122.165215239001)"
Beaver Accident,47.5812,-122.1665,"(47.5811818665455, -122.166480935545)"
Beaver Accident,47.5633,-122.1981,"(47.5632693515839, -122.198105010552)"
Beaver Accident,47.6173,-122.1852,"(47.6172528943293, -122.185156156592)"
Beaver Accident,47.5638,-122.1418,"(47.5638138579298, -122.141755694268)"
Beaver Accident,47.6026,-122.195,"(47.6025929788052, -122.195004448228)"
Beaver Accident,47.5546,-122.1704,"(47.5546367558359, -122.170425351559)"
Beaver Accident,47.5912,-122.1762,"(47.5912370212855, -122.176213958729)"
Beaver Accident,47.5956,-122.1588,"(47.595592305159, -122.158846557367)"
Beaver Accident,47.5335,-122.1585,"(47.5335051721904, -122.158494879267)"
Beaver Accident,47.5516,-122.1898,"(47.5516458350844, -122.189838121737)"
Beaver Accident,47.5714,-122.1695,"(47.5713506572323, -122.169473823681)"
Beaver Accident,47.5905,-122.1574,"(47.5904852581937, -122.157362542889)"
Beaver Accident,47.6265,-122.1745,"(47.6265358486788, -122.17450629654)"
Beaver Accident,47.5901,-122.1711,"(47.5900629938682, -122.171091823369)"
Beaver Accident,47.5918,-122.1569,"(47.5917709816958, -122.156939553444)"
Beaver Accident,47.5634,-122.1473,"(47.5634110049422, -122.147306965923)"
Beaver Accident,47.5614,-122.1493,"(47.5613616568502, -122.14925321508)"
Beaver Accident,47.5737,-122.1884,"(47.5736786118564, -122.188419898781)"
Beaver Accident,47.5683,-122.1706,"(47.5683353915644, -122.170609552529)"
Beaver Accident,47.5979,-122.1654,"(47.5978997766247, -122.165383493491)"
Beaver Accident,47.578,-122.1693,"(47.5780490080336, -122.169347084076)"
Beaver Accident,47.5355,-122.1749,"(47.5354756176917, -122.174862141142)"
Beaver Accident,47.5892,-122.1514,"(47.5892311325729, -122.15144894766)"
Beaver Accident,47.5362,-122.1851,"(47.5361950181147, -122.185148270426)"
Beaver Accident,47.6259,-122.1862,"(47.6258786323094, -122.18622382102)"
Beaver Accident,47.5671,-122.1721,"(47.5671127033384, -122.172072191978)"
Beaver Accident,47.5511,-122.1472,"(47.5510670600194, -122.147235739953)"
Beaver Accident,47.5987,-122.1631,"(47.5986854743625, -122.163080730992)"
Beaver Accident,47.5872,-122.1671,"(47.5872404920837, -122.16714537556)"
Beaver Accident,47.5787,-122.1555,"(47.5787474488227, -122.155483704682)"
Beaver Accident,47.5908,-122.1476,"(47.590832532982, -122.147584899128)"
Beaver Accident,47.573,-122.1408,"(47.5729608703359, -122.140845181321)"
Beaver Accident,47.6177,-122.1899,"(47.6176771722399, -122.189897849899)"
Beaver Accident,47.5518,-122.1575,"(47.5518079005458, -122.157540361652)"
Beaver Accident,47.5465,-122.1564,"(47.5465095263049, -122.156386117859)"
Beaver Accident,47.596,-122.1879,"(47.5959944349269, -122.187932717055)"
Beaver Accident,47.5825,-122.1895,"(47.582477758413, -122.189484779635)"
Beaver Accident,47.6076,-122.1761,"(47.6076299630333, -122.176116294552)"
Beaver Accident,47.5439,-122.1479,"(47.5439469546563, -122.147860240908)"
Beaver Accident,47.6112,-122.1703,"(47.6111712184047, -122.170331284147)"
Beaver Accident,47.5781,-122.1747,"(47.578055517554, -122.17470609737)"
Beaver Accident,47.6223,-122.1595,"(47.6223438981622, -122.159465095465)"
Beaver Accident,47.5627,-122.1613,"(47.5626772471492, -122.161268617126)"
Beaver Accident,47.5524,-122.1605,"(47.5524002745317, -122.160508555625)"
Beaver Accident,47.6213,-122.1889,"(47.6213156282674, -122.188900879419)"
Beaver Accident,47.5371,-122.1811,"(47.5371112728424, -122.181113368816)"
Beaver Accident,47.5354,-122.1645,"(47.5354318297318, -122.164479352637)"
Beaver Accident,47.5873,-122.1494,"(47.5873471956196, -122.149356069321)"
Beaver Accident,47.5574,-122.1708,"(47.5573584979416, -122.170836313027)"
Beaver Accident,47.5335,-122.1459,"(47.5335339972411, -122.145937565407)"
Beaver Accident,47.5712,-122.1824,"(47.5712393608917, -122.182446847522)"
Beaver Accident,47.547,-122.1636,"(47.5469744443939, -122.163627668206)"
Beaver Accident,47.5448,-122.1747,"(47.5447711993831, -122.174666529264)"
Beaver Accident,47.6166,-122.1455,"(47.6166406762288, -122.14547100954)"
Beaver Accident,47.5843,-122.1916,"(47.5842851723771, -122.191608292086)"
Beaver Accident,47.5719,-122.1795,"(47.5719264580611, -122.179546782425)"
Beaver Accident,47.5615,-122.1897,"(47.5615436342067, -122.189651820413)"
Beaver Accident,47.6228,-122.1771,"(47.6228149152729, -122.177063877746)"
Beaver Accident,47.5313,-122.163,"(47.531306054581, -122.162999656174)"
Beaver Accident,47.5327,-122.1964,"(47.5326572345389, -122.196357704353)"
Beaver Accident,47.5755,-122.1945,"(47.5754692309937, -122.194503663663)"
Beaver Accident,47.5775,-122.148,"(47.5775188404415, -122.147995345356)"
Beaver Accident,47.5933,-122.1481,"(47.5933149430109, -122.148068595535)"
Beaver Accident,47.6058,-122.1831,"(47.6057866669507, -122.183147699902)"
Beaver Accident,47.5313,-122.1545,"(47.5312923727486, -122.154472937312)"
Beaver Accident,47.5717,-122.145,"(47.5717151978729, -122.145018121612)"
Beaver Accident,47.6288,-122.1633,"(47.6288215546201, -122.163334323506)"
Beaver Accident,47.5489,-122.1486,"(47.5489466111922, -122.14862922117)"
Beaver Accident,47.5676,-122.1822,"(47.5675609706403, -122.182211467644)"
Beaver Accident,47.6253,-122.1801,"(47.6252863035377, -122.180076640433)"
Beaver Accident,47.5926,-122.1635,"(47.5925792698261, -122.163484605992)"
Beaver Accident,47.5871,-122.1442,"(47.5870929867934, -122.144165014454)"
Beaver Accident,47.5678,-122.1774,"(47.56781579976, -122.177366395654)"
Beaver Accident,47.5763,-122.1952,"(47.5762940262733, -122.195231768151)"
Beaver Accident,47.5694,-122.184,"(47.5693794582443, -122.184043816321)"
Beaver Accident,47.5983,-122.1703,"(47.5982974881553, -122.170264610684)"
Beaver Accident,47.6219,-122.1815,"(47.6218885394686, -122.181493057179)"
Beaver Accident,47.6226,-122.1446,"(47.6225856891698, -122.144588372822)"
Beaver Accident,47.601,-122.1443,"(47.6009899216919, -122.14434291144)"
Beaver Accident,47.5714,-122.1744,"(47.571380046316, -122.174404484674)"
Beaver Accident,47.6287,-122.1949,"(47.6286920676597, -122.194928312158)"
Beaver Accident,47.5394,-122.1461,"(47.5393909134357, -122.146083072605)"
Beaver Accident,47.6068,-122.1529,"(47.6068212367566, -122.152892515764)"
Beaver Accident,47.5747,-122.1406,"(47.5746898650854, -122.14058677098)"
Beaver Accident,47.6091,-122.186,"(47.6091437051547, -122.186003472516)"
Beaver Accident,47.5436,-122.1462,"(47.5435574565269, -122.146232946525)"
Beaver Accident,47.5935,-122.1894,"(47.5934807404287, -122.189417725403)"
Beaver Accident,47.5554,-122.1905,"(47.5554485780894, -122.190526013408)"
Beaver Accident,47.5831,-122.1403,"(47.5830831937703, -122.140263765789)"
Beaver Accident,47.6098,-122.1747,"(47.6097585063738, -122.174661966456)"
Beaver Accident,47.555,-122.1687,"(47.5550299170954, -122.16871755042)"
